x y1 y2 y3 y4 
0.0 0.0 0.0 0.0 0.0 
0.05263157894736842 0.05263157894736842 0.06890700525255822 0.08093637185106539 0.08951290628571762 
0.10526315789473684 0.10526315789473684 0.13413436473881457 0.1532056993681884 0.16605874001232668 
0.15789473684210525 0.15789473684210525 0.19664512501795883 0.22035059316829375 0.23579282979380967 
0.21052631578947367 0.21052631578947367 0.2569133405294822 0.28364994284218026 0.3006443643984399 
0.2631578947368421 0.2631578947368421 0.31524613552804126 0.3438305366743546 0.36165179373688006 
0.3157894736842105 0.3157894736842105 0.37186459681615236 0.4013719196066994 0.4194769229656683 
0.3684210526315789 0.3684210526315789 0.42693741775089233 0.45661836995889427 0.47458212216869655 
0.42105263157894735 0.42105263157894735 0.48059900224293206 0.5098298995222967 0.5273100368074135 
0.47368421052631576 0.47368421052631576 0.5329590178053762 0.5612106759983626 0.5779249417978825 
0.5263157894736842 0.5263157894736842 0.584109177773686 0.6109252062326951 0.6266369469470989 
0.5789473684210527 0.5789473684210527 0.6341272371986858 0.6591087081511271 0.6736166040092542 
0.631578947368421 0.631578947368421 0.683079871623597 0.7058741548432328 0.7190047399045425 
0.6842105263157894 0.6842105263157894 0.7310251449348417 0.7513168236936074 0.7629189473929084 
0.7368421052631579 0.7368421052631579 0.7780137267776517 0.7955179317327565 0.8054580880527458 
0.7894736842105263 0.7894736842105263 0.8240901063893258 0.8385468224563968 0.8467054662961487 
0.8421052631578947 0.8421052631578947 0.8692938531336676 0.8804627704560722 0.886731023134246 
0.894736842105263 0.894736842105263 0.9136598091256077 0.9213163010655265 0.9255927075678059 
0.9473684210526315 0.9473684210526315 0.9572189720972575 0.9611500458523693 0.9633370775670529 
1.0 1.0 0.9999987858982419 0.9999992228027655 0.9999993199401038 
